AWSFileName	AWSFolderName
Cape_Otway_F_Y32	VIC_Colac_Otway
Cape_Otway_F_Y37	VIC_Colac_Otway
Cape_Otway_M_Y40	VIC_Colac_Otway
Cape_Otway_F_Y49	VIC_Colac_Otway
Cape_Otway_F_Y60	VIC_Colac_Otway
FRIS_F_SAWS21	VIC_French_Island
FRIS_M_SAWS22	VIC_French_Island
Gelantipy_F_K11	VIC_East_Gippsland
Gelantipy_M_K12	VIC_East_Gippsland
Gelantipy_F_K13	VIC_East_Gippsland
Gelantipy_M_K14	VIC_East_Gippsland
Gelantipy_F_K15	VIC_East_Gippsland
Gelantipy_F_K16	VIC_East_Gippsland
Gelantipy_F_K17	VIC_East_Gippsland
Gelantipy_F_K18	VIC_East_Gippsland
Gelantipy_M_K19	VIC_East_Gippsland
Gelantipy_F_K20	VIC_East_Gippsland
Gelantipy_M_K5	VIC_East_Gippsland
South-West-Victoria_M_Z73841	VIC_Glenelg
South-West-Victoria_F_Z73845	VIC_Glenelg
South-West-Victoria_M_Z73856	VIC_Glenelg
HDS_M_SAWS01	VIC_BawBaw
HDS_M_SAWS12	VIC_BawBaw
HDS_F_SAWS13	VIC_BawBaw
HDS_M_SAWS09	VIC_BawBaw
Mallacoota_U_Vicky	VIC_East_Gippsland
Mallacoota_U_Solo	VIC_East_Gippsland
Mallacoota_U_Trip	VIC_East_Gippsland
Mallacoota_U_Blinky	VIC_East_Gippsland
Mallacoota_U_Frankie	VIC_East_Gippsland
Mallacoota_U_Abigail	VIC_East_Gippsland
Mallacoota_U_Annie	VIC_East_Gippsland
Murray_River_F_F6	VIC_Moira
Murray_River_F_F8	VIC_Moira
Murray_River_M_MR001	VIC_Moira
Murray_River_M_MR002	VIC_Moira
Murray_River_M_MR003	VIC_Moira
Murray_River_M_MR005	VIC_Moira
Murray_River_M_MR006	VIC_Moira
Murray_River_M_MR007	VIC_Moira
Murray_River_M_MR008	VIC_Moira
Murray_River_M_MR009	VIC_Moira
Murray_River_M_MR010	VIC_Moira
Murray_River_F_FA	VIC_Moira
South-West-Victoria_F_Z73848	VIC_Moyne
SHGLD_M_SAWS17	VIC_South_Gippsland
SHGLD_F_SAWS23	VIC_South_Gippsland
SHGLD_M_SAWS27	VIC_South_Gippsland
Gippsland_F_SAWS29	VIC_South_Gippsland
SHGLD_F_SAWS31	VIC_South_Gippsland
SHGLD_M_SAWS33	VIC_South_Gippsland
Gippsland_M_SAWS34	VIC_South_Gippsland
Gippsland_F_SAWS41	VIC_South_Gippsland
Gippsland_M_SAWS42	VIC_South_Gippsland
Gippsland_M_SAWS43	VIC_South_Gippsland
Gippsland_F_SAWS45	VIC_South_Gippsland
Gippsland_F_SAWS63	VIC_South_Gippsland
Gippsland_M_SAWS64	VIC_South_Gippsland
Gippsland_F_SAWS66	VIC_South_Gippsland
Gippsland_F_SAWS67	VIC_South_Gippsland
Gippsland_F_SAWS69	VIC_South_Gippsland
